iter	RMSE
0	0.6320253026
1	0.6296598334
2	0.6267908126
3	0.6263889432
4	0.6259933291
5	0.6253650875
6	0.6228238652
7	0.6200078105
8	0.6175203918
9	0.6147234587
10	0.6122233063
11	0.6098988975
12	0.6094505361
13	0.6089477016
14	0.6065931379
15	0.6042236649
16	0.6037507147
17	0.6017575596
18	0.6006806448
19	0.5985094108
20	0.5962913334
21	0.59600679
22	0.595645188
23	0.595201983
24	0.594935108
25	0.5946118622
26	0.592546355
27	0.592126376
28	0.5916759046
29	0.5914966251
30	0.5893543496
31	0.5891298918
32	0.5871918334
33	0.5852519479
34	0.5850186924
35	0.5834629593
36	0.5823769675
37	0.5803199134
38	0.5800411171
39	0.5797111405
40	0.5782056078
41	0.5780455294
42	0.5763035536
43	0.5761382904
44	0.5753657281
45	0.5740676806
46	0.5736381067
47	0.5734493108
48	0.571792569
49	0.5715113306
50	0.5712182281
51	0.5710831492
52	0.5710437965
53	0.5708976851
54	0.5705973176
55	0.5703239172
56	0.5701036076
57	0.5696564682
58	0.5683638033
59	0.5667767252
60	0.5665831157
61	0.5664256136
62	0.566090995
63	0.5657013283
64	0.5655170819
65	0.5651137288
66	0.5638802063
67	0.5636277474
68	0.5634333776
69	0.563182083
70	0.5629860322
71	0.5627330222
72	0.5616044904
73	0.5614408334
74	0.5613334458
75	0.5609565727
76	0.5605915475
77	0.5604116777
78	0.5603057704
79	0.5601646943
80	0.5600522046
81	0.559906887
82	0.5592685554
83	0.5590899842
84	0.5575451952
85	0.5573000442
86	0.5558189144
87	0.5556349846
88	0.5541973848
89	0.5538921857
90	0.5537799302
91	0.5535229754
92	0.553348414
93	0.5519490886
94	0.551753328
95	0.5503485528
96	0.5502058421
97	0.549915662
98	0.5498569253
99	0.549757321
100	0.5496905758
101	0.5494737368
102	0.5486291573
103	0.5483369298
104	0.5482430454
105	0.5481030073
106	0.5467721211
107	0.5464067272
108	0.5454473731
109	0.545315581
110	0.5451721488
111	0.5438628516
112	0.5437156536
113	0.5424295951
114	0.5423322851
115	0.5421619866
116	0.5409118894
117	0.5407816124
118	0.5406539867
119	0.5405243448
120	0.5403031972
121	0.5400820976
122	0.5395758665
123	0.5383611295
124	0.5382114862
125	0.5380383922
126	0.5368220442
127	0.5366628956
128	0.5364953634
129	0.5364239221
130	0.5363604823
131	0.5360725457
132	0.5359503671
133	0.5357913564
134	0.5355827238
135	0.5344673927
136	0.5343525459
137	0.534199857
138	0.5330675813
139	0.5330156254
140	0.5329365421
141	0.5328708544
142	0.5327647306
143	0.5327000939
144	0.5326428061
145	0.5315214416
146	0.5304438846
147	0.5302096124
148	0.5291711538
149	0.5284515674
150	0.5283013973
151	0.5282434815
152	0.5281660015
153	0.5271509491
154	0.5270968902
155	0.5269433849
156	0.5267409095
157	0.5259557927
158	0.525489986
159	0.5254202354
160	0.5253083247
161	0.5242751175
162	0.524158007
163	0.5241151485
164	0.523992049
165	0.5237867102
166	0.5235824357
167	0.523529805
168	0.5225629306
169	0.5224438555
170	0.5222976773
171	0.5222018888
172	0.5213894278
173	0.5213118291
174	0.5211883643
175	0.5210897294
176	0.520711613
177	0.5206508677
178	0.5205399338
179	0.5204568685
180	0.5203352719
181	0.520241049
182	0.5201025957
183	0.5200478278
184	0.5189298959
185	0.5180745619
186	0.5179192422
187	0.5176336192
188	0.5173505188
189	0.5164299904
190	0.5162868793
191	0.5161974149
192	0.5161395496
193	0.5157841265
194	0.5154894245
195	0.5153591921
196	0.5152300947
197	0.5150885064
198	0.514851919
199	0.5147132206
200	0.514474702
201	0.5143346928
202	0.5141060566
203	0.5136451182
204	0.5134439013
205	0.513279478
206	0.5131834819
207	0.5131538846
208	0.5122936912
209	0.5115051031
210	0.5112514117
211	0.5104532817
212	0.5103640055
213	0.5102076901
214	0.5099929933
215	0.509833175
216	0.5091895301
217	0.5091465385
218	0.5090822551
219	0.5090444898
220	0.5088353532
221	0.5085368996
222	0.5085116957
223	0.5084436373
224	0.5082854851
225	0.5080977338
226	0.5079452951
227	0.5078141776
228	0.5077300028
229	0.5076505736
230	0.5073667118
231	0.5072419616
232	0.5068903384
233	0.5068745683
234	0.5068104071
235	0.5067757645
236	0.5066955362
237	0.5066256419
238	0.5065479963
239	0.5063592584
240	0.5057920668
241	0.5056815363
242	0.5055000815
243	0.5054508525
244	0.5053833427
245	0.5051263678
246	0.5050968891
247	0.5050100549
248	0.5049587489
249	0.5048398854
250	0.5046757076
251	0.5045740662
252	0.5044988778
253	0.5043275846
254	0.5042770733
255	0.5042676239
256	0.5041681942
257	0.5036669375
258	0.503625519
259	0.5035674649
260	0.5033651905
261	0.5033267196
262	0.5032721935
263	0.5031889724
264	0.5029955636
265	0.5028127766
266	0.5027877698
267	0.5023255115
268	0.5021223335
269	0.5019522013
270	0.5017067251
271	0.5016195364
