iter	Passed	Remaining
0	61	61580
1	63	31614
2	64	21518
3	66	16497
4	67	13468
5	69	11494
6	70	10049
7	72	8932
8	73	8130
9	81	8110
10	83	7528
11	85	7056
12	87	6633
13	89	6290
14	91	5982
15	92	5718
16	95	5528
17	98	5365
18	100	5167
19	104	5098
20	105	4937
21	107	4775
22	109	4654
23	111	4514
24	112	4393
25	114	4307
26	116	4199
27	118	4099
28	120	4043
29	122	3965
30	128	4028
31	130	3950
32	133	3915
33	137	3897
34	138	3822
35	140	3754
36	142	3697
37	144	3647
38	146	3598
39	147	3540
40	149	3487
41	150	3442
42	152	3396
43	154	3356
44	155	3309
45	158	3280
46	159	3242
47	162	3223
48	164	3188
49	165	3150
50	167	3110
51	168	3080
52	170	3054
53	181	3188
54	184	3162
55	185	3132
56	187	3104
57	189	3084
58	193	3081
59	194	3048
60	197	3039
61	199	3011
62	200	2988
63	202	2967
64	204	2942
65	206	2920
66	208	2900
67	210	2886
68	212	2870
69	216	2877
70	218	2853
71	219	2833
72	220	2806
73	222	2782
74	223	2759
75	225	2737
76	227	2721
77	228	2703
78	230	2684
79	232	2672
80	233	2652
81	235	2640
82	237	2622
83	239	2609
